Aug 13 17:01:05.528 [DEBUG] welcome go socks demo (E:/code/self/demo-2/16-go-socks5/main.go:36 main.main)
Aug 13 17:01:05.541 [DEBUG] {0.0.0.0 10000} (E:/code/self/demo-2/16-go-socks5/config/config.go:30 go-socks5-demo/config.LoadConfig)
Aug 13 17:01:05.541 [DEBUG] socks5 server start (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:67 go-socks5-demo/socks5.Start)
Aug 13 17:01:20.010 [DEBUG] request is{3 cn.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.228 [DEBUG] request is{3 r.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.228 [DEBUG] request is{3 r.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.228 [DEBUG] request is{3 th.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.229 [DEBUG] request is{3 th.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.639 [DEBUG] request is{3 ts3.cn.mm.bing.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.639 [DEBUG] request is{3 ts4.cn.mm.bing.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.640 [DEBUG] request is{3 ts1.cn.mm.bing.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.641 [DEBUG] request is{3 ts2.cn.mm.bing.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 17:01:21.749 [DEBUG] request is{3 login.microsoftonline.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
